PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Tyler Conklin,MIN,TE,12,CAR,0,0,0,0,0,0,0.63,6.99,0.06,0,0,0,0,0,0,1,5,0,1.06,1.69,1.38,0.5,1.5,1,0,0,0,0,0,0,0.37,-1.99,-0.06,-0.56,-0.19,-0.38
Maxx Williams,ARI,TE,12,NE,0,0,0,0,0,0,0.72,6.73,0.06,0,0,0,0,0,0,2,10,0,1.03,1.75,1.39,1,3,2,0,0,0,0,0,0,1.28,3.27,-0.06,-0.03,1.25,0.61
Adam Trautman,NO,TE,12,DEN,0,0,0,0,0,0,0.59,6.65,0.05,0,0,0,0,0,0,1,8,0,0.97,1.56,1.26,0.8,1.8,1.3,0,0,0,0,0,0,0.41,1.35,-0.05,-0.17,0.24,0.04
Adam Shaheen,MIA,TE,12,NYJ,0,0,0,0,0,0,0.57,5.7,0.06,0,0,0,0,0,0,1,7,1,0.93,1.5,1.22,6.7,7.7,7.2,0,0,0,0,0,0,0.43,1.3,0.94,5.77,6.2,5.98
Harrison Bryant,CLE,TE,12,JAC,0,0,0,0,0,0,0.42,4.63,0.06,0,0,0,0,0,0,1,13,0,0.82,1.24,1.03,1.3,2.3,1.8,0,0,0,0,0,0,0.58,8.37,-0.06,0.48,1.06,0.77
James O'Shaughnessy,JAC,TE,12,CLE,0,0,0,0,0,0,0.44,4.24,0.04,0,0,0,0,0,0,2,17,0,0.66,1.1,0.88,1.7,3.7,2.7,0,0,0,0,0,0,1.56,12.76,-0.04,1.04,2.6,1.82
Marcedes Lewis,GB,TE,12,CHI,0,0,0,0,0,0,0.22,2.37,0.02,0,0,0,0,0,0,2,16,1,0.36,0.58,0.47,7.6,9.6,8.6,0,0,0,0,0,0,1.78,13.63,0.98,7.24,9.02,8.13
Geoff Swaim,TEN,TE,12,IND,0,0,0,0,0,0,0.13,1.1,0.01,0,0,0,0,0,0,3,30,0,0.17,0.3,0.24,3,6,4.5,0,0,0,0,0,0,2.87,28.9,-0.01,2.83,5.7,4.26
Deon Yelder,KC,TE,12,TB,0,0,0,0,0,0,0.06,0.58,0.01,0,0,0,0,0,0,1,2,0,0.12,0.18,0.15,0.2,1.2,0.7,0,0,0,0,0,0,0.94,1.42,-0.01,0.08,1.02,0.55
Jaeden Graham,ATL,TE,12,LV,0,0,0,0,0,0,0.05,0.59,0.01,0,0,0,0,0,0,1,11,0,0.12,0.17,0.14,1.1,2.1,1.6,0,0,0,0,0,0,0.95,10.41,-0.01,0.98,1.93,1.46
